YEAR,CHRSPROT,CHRSCAT,CHRSORTH,CHRSANG,CHRSOTHR,CHRSGEN,JUDORTH,JDCONS,JUDREF,JUDOTHR,JUDGEN,ISLMSUN,ISLMSHI,ISLMIBD,ISLMNAT,ISLMALW,ISLMAHM,ISLMOTHR,ISLMGEN,BUDMAH,BUDTHR,BUDOTHR,BUDGEN,ZOROGEN,HINDGEN,SIKHGEN,SHNTGEN,BAHGEN,TAOGEN,JAINGEN,CONFGEN,SYNCGEN,ANMGEN,NONRELIG,OTHRGEN,SUMRELIG,POP,WPOP,CHPRTPCT,CHCATPCT,CHORTPCT,CHANGPCT,CHOTHPCT,CHGENPCT,JDORPCT,JDCNPCT,JDRFPCT,JDOTPCT,JDGENPCT,ISSUNPCT,ISSHIPCT,ISIBDPCT,ISNATPCT,ISALAPCT,ISAHMPCT,ISLOTPCT,ISGENPCT,BUMAHPCT,BUTHRPCT,BUOTHPCT,BUGENPCT,ZOGENPCT,HIGENPCT,SIGENPCT,SHGENPCT,BAGENPCT,TAGENPCT,JAGENPCT,COGENPCT,SYGENPCT,ANGENPCT,NORELPCT,OTGENPCT,SUMPCT,TOTAL,VERSION
1945,160887585,391332035,98501171,36955033,13674466,701350290,856827,1426350,1929388,7796835,12009400,49050320,19436742,0,0,0,0,62273219,130760281,0,0,116237936,116237936,12710,5389197,20809,55228775,15495,120950,181,0,428660117,33210080,153486530,9856926,1636502751,1617000000,2250000000,0.1001,0.2434,0.061298765,0.022998765,0.008498765,0.4362,0.0005,0.0009,0.001198765,0.004798765,0.007498765,0.030498765,0.012098765,0,0,0,0,0.038698765,0.081298765,0,0,0.0723,0.0723,0,0.0034,0,0.034298765,0,9.87654E-05,0,0,0.2666,0.020698765,0.095498765,0.006098765,1.012061071,0.718666667,1.1
1950,133301043,401935856,106610911,38307544,16324768,696480122,2204231,1860297,2528641,7105125,13698294,56921304,20944082,0,0,387994,0,215867687,294121067,0,14031137,144980765,159011902,119462,301349500,5932557,65452839,638739,921828,1817254,2646410,431942094,88853880,192925316,12145951,2255911264,2231000000,2780296616,0.059998765,0.181,0.047998765,0.017298765,0.007398765,0.3136,0.001,0.0008,0.0011,0.0032,0.006198765,0.025598765,0.009398765,0,0,0.0002,0,0.097198765,0.1325,0,0.006298765,0.065298765,0.071598765,9.87654E-05,0.1357,0.0027,0.029498765,0.0003,0.0004,0.0008,0.001198765,0.1945,0.04,0.0869,0.005498765,1.011165963,0.802432369,1.1
1955,189347338,474378130,111661338,38177572,22437724,836002102,2496432,1653007,2225241,6611524,12986204,78882540,24256503,0,0,445582,0,240487382,344072007,0,33522360,145861839,179384199,140762,328704605,6407617,68145114,761302,1182738,1620662,2956319,385702150,93710944,304128449,21379050,2565905174,2536000000,3039433944,0.0747,0.1871,0.043998765,0.015098765,0.008798765,0.3297,0.001,0.0007,0.0009,0.002598765,0.0051,0.031098765,0.009598765,0,0,0.0002,0,0.094798765,0.1357,0,0.013198765,0.057498765,0.070698765,9.87654E-05,0.1296,0.0025,0.026898765,0.0003,0.0005,0.0006,0.001198765,0.1521,0.036998765,0.1199,0.008398765,1.011792261,0.834365887,1.1
1960,220293770,541957872,118268109,41846700,44601144,966967595,2818847,1716903,2300405,6892701,13728856,104325384,27174803,0,0,521848,0,303101053,435123088,0,16766250,183672909,200439159,170443,361169167,8088138,71357167,1278349,1357348,2031760,3593958,325016083,135768801,434629671,18904435,2960719583,2921000000,3345409879,0.075398765,0.1856,0.0405,0.014298765,0.015298765,0.3311,0.001,0.0006,0.0008,0.002398765,0.004698765,0.0357,0.009298765,0,0,0.0002,0,0.1038,0.149,0,0.005698765,0.062898765,0.068598765,9.87654E-05,0.1237,0.0028,0.024398765,0.0004,0.0005,0.0007,0.001198765,0.111298765,0.046498765,0.1488,0.006498765,1.01359794,0.873136658,1.1
1965,234437703,614115021,125954494,45086639,55119929,1074713786,3295632,1760345,2348076,6849626,14253679,129192812,17097714,40000,0,598115,0,367705416,514634057,0,18305680,194287704,212593384,148944,397863182,8895685,74982591,1658891,1704647,2341748,4441376,358844822,160893706,474097850,41159669,3302068346,3280000000,3706601448,0.071498765,0.1873,0.038398765,0.013698765,0.016798765,0.3277,0.001,0.0005,0.0007,0.0021,0.004298765,0.039398765,0.005198765,0,0,0.0002,0,0.1121,0.1569,0,0.005598765,0.059198765,0.064798765,0,0.121298765,0.0027,0.022898765,0.0005,0.0005,0.0007,0.0014,0.1094,0.049098765,0.1446,0.012598765,1.006728154,0.884907656,1.1
1970,247932230,671006540,134595635,46079842,76991429,1176605676,3663721,1923986,2574798,6670904,14833409,151264004,36572141,374000,0,700450,0,403431693,592342288,0,20862636,207939998,228802634,107671,449824489,10686632,79156350,2294978,1981266,2628762,5286931,379156729,167009224,588838181,26258961,3699555220,3655000000,4086387665,0.0678,0.1836,0.036798765,0.012598765,0.021098765,0.3219,0.001,0.0005,0.0007,0.0018,0.0041,0.041398765,0.009998765,9.87654E-05,0,0.0002,0,0.1104,0.162,0,0.005698765,0.056898765,0.062598765,0,0.123098765,0.002898765,0.021698765,0.0006,0.0005,0.0007,0.0014,0.103698765,0.045698765,0.1611,0.007198765,1.012190211,0.894433005,1.1
1975,264857729,748325898,137192284,48153338,101587361,1300116609,3910099,2253657,2910930,6839862,15914548,238953304,44373213,420500,0,924465,2700,379000166,663674348,0,22929200,237395084,260324284,179084,488621807,12477870,85416548,2607053,2895296,2942380,5174923,372344153,168615279,690431832,26800685,4071736010,4023000000,4453863820,0.065798765,0.186,0.034098765,0.011998765,0.025298765,0.3232,0.001,0.0006,0.0007,0.0017,0.003998765,0.059398765,0.010998765,9.87654E-05,0,0.0002,0,0.0942,0.165,0,0.005698765,0.058998765,0.064698765,0,0.1215,0.0031,0.021198765,0.0006,0.0007,0.0007,0.001298765,0.092598765,0.041898765,0.1716,0.006698765,1.012114345,0.903260666,1.1
1980,278962191,798834729,137902427,51093360,125285902,1392078609,4300992,2439116,3153787,6713100,16606995,277804364,50827912,668250,0,1148480,1584485,315105986,647139477,0,30400850,268001266,298402116,192461,537594394,14276856,89429228,3205049,3875752,3258083,5470087,398417206,165629178,737801266,35031049,4313376757,4413000000,4850224998,0.065398765,0.1873,0.032298765,0.011998765,0.029398765,0.3264,0.001,0.0006,0.0007,0.0016,0.003898765,0.0651,0.011898765,0.0002,0,0.0003,0.0004,0.073898765,0.1517,0,0.007098765,0.062798765,0.07,0,0.126,0.003298765,0.020998765,0.0008,0.0009,0.0008,0.001298765,0.093398765,0.0388,0.173,0.008198765,0.977425053,0.909854698,1.1
1985,305061321,865316946,141435053,56651880,138453851,1506919051,4580474,2466942,3320124,6415455,16782995,317788564,62653376,899500,0,1202490,0,364584661,747128591,0,36232325,301438364,337670689,263891,601622535,14921905,92520741,3180424,4627936,3567900,1169027,435629032,166066939,788196309,36373149,4720267965,4834000000,5277725410,0.065298765,0.1853,0.030298765,0.012098765,0.029698765,0.3227,0.001,0.0005,0.0007,0.0014,0.003598765,0.068098765,0.013398765,0.0002,0,0.0003,0,0.0781,0.16,0,0.007798765,0.064598765,0.0723,9.87654E-05,0.128898765,0.0032,0.019798765,0.0007,0.001,0.0008,0.0003,0.093298765,0.0356,0.1688,0.007798765,0.976472479,0.915924878,1.1
1990,391772588,928527756,147970918,63954053,162855904,1695081219,4395315,1926083,2458253,6089896,14869547,516397560,78407673,1095087,0,9123315,0,394656683,999680318,0,39303150,335944605,375247755,878401,659849828,19201480,94607820,5064983,5884833,3884764,1300279,469199898,182182331,838271280,36282109,5365204736,5313000000,5687011326,0.0737,0.1748,0.027898765,0.011998765,0.030698765,0.3191,0.0008,0.0004,0.0005,0.0011,0.0028,0.097198765,0.014798765,0.0002,0,0.0017,0,0.0743,0.1882,0,0.007398765,0.0632,0.070598765,0.0002,0.1242,0.003598765,0.017798765,0.001,0.0011,0.0007,0.0002,0.0883,0.034298765,0.1578,0.006798765,1.009825849,0.934234116,1.1
1995,385509297,962614859,182860714,69080890,185349210,1785414969,5143346,1900415,2392642,4635903,14072306,713820144,116574174,1229556,0,11824580,200000,311342152,1154990606,0,41223800,370731530,411955330,1486982,720868905,19075084,96137007,4847579,6521306,4096172,1273987,503019620,192906325,802280726,41903686,5718946902,5670000000,5687011326,0.068,0.1698,0.032298765,0.012198765,0.032698765,0.3149,0.0009,0.0003,0.0004,0.0008,0.0025,0.1259,0.020598765,0.0002,0,0.0021,0,0.054898765,0.2037,0,0.007298765,0.065398765,0.0727,0.0003,0.1272,0.0034,0.016998765,0.0009,0.001198765,0.0007,0.0002,0.088698765,0.034,0.1415,0.007398765,1.008632611,0.997008741,1.1
2000,443610594,978633933,264356291,68291261,136031105,1890923184,5433428,1849587,2306902,3856395,13446312,1114987699,153872692,1360367,0,12568650,536000,30722832,1314048240,4938780,113240351,270076925,388256056,2004398,875605734,20052963,97189265,4080074,9800202,4322367,3816742,562844555,166747465,782412122,33542527,6135549678,6077000000,6081002937,0.0729,0.1608,0.0434,0.011198765,0.022398765,0.3107,0.0009,0.0003,0.0004,0.0006,0.0022,0.1832,0.025298765,0.0002,0,0.0021,9.87654E-05,0.004998765,0.2159,0.0008,0.018598765,0.0444,0.063798765,0.0003,0.1439,0.003298765,0.015998765,0.0007,0.0016,0.0007,0.0006,0.092498765,0.027398765,0.128598765,0.005498765,1.009634635,0.999341731,1.1
2005,490942837,1013883916,255124896,69037503,161742315,1990731467,6271171,1778851,2342301,3878005,14270328,1201627932,164919787,1415383,0,15993460,543367,41954417,1426454346,14098904,156829163,303189054,474117121,1676073,947361362,21869149,107221255,4309833,12295370,4744957,3850741,569336868,171348718,743821311,39044537,6493408899,6436000000,6462181426,0.0763,0.1575,0.0396,0.010698765,0.025098765,0.3093,0.001,0.0003,0.0004,0.0006,0.0022,0.1867,0.025598765,0.0002,0,0.0025,9.87654E-05,0.006498765,0.2216,0.0022,0.024398765,0.0471,0.0737,0.0003,0.1472,0.0034,0.016698765,0.0007,0.0019,0.0007,0.0006,0.088498765,0.026598765,0.115598765,0.006098765,1.008919966,0.995948516,1.1
2010,557830085,1049709823,268783851,71770419,163818774,2111912953,6637406,1899567,2509660,2976676,14023309,1321204779,183218930,1606195,0,4108974,500000,44843888,1555482766,14951768,165612816,304682353,485246937,1751038,1017342648,23776500,108343192,4840062,9879877,5115141,3987537,590530545,174264339,788323943,26572933,6894820787,6839000000,6840423256,0.081698765,0.1537,0.0393,0.010498765,0.023998765,0.3092,0.001,0.0003,0.0004,0.0004,0.0021,0.1934,0.026798765,0.0002,0,0.0006,9.87654E-05,0.006598765,0.2277,0.0022,0.024198765,0.044598765,0.070998765,0.0003,0.1489,0.0035,0.015898765,0.0007,0.0014,0.0007,0.0006,0.086498765,0.025498765,0.1154,0.003898765,1.008162127,0.999791935,1.1
